Transaction Time|Transaction Type|Serial #|Buyer|Seller|Amount|Market ID
1692204207.406444465|CRYPTOTRANSFER|486|0.0.2336576|0.0.1338506|229.69802854|zuse
1684981093.217819253|CRYPTOTRANSFER|489|0.0.1413236|0.0.793407|500.0|zuse
1686089846.384798663|CRYPTOTRANSFER|492|0.0.660029|0.0.791611|600.0|zuse
1684201276.878218003|CRYPTOTRANSFER|493|0.0.2104123|0.0.657657|450.0|zuse
1685192351.833676003|CRYPTOTRANSFER|495|0.0.1413236|0.0.655736|570.0|zuse
1685192361.560296003|CRYPTOTRANSFER|496|0.0.1413236|0.0.655736|570.0|zuse
1686364902.244213791|CRYPTOTRANSFER|497|0.0.940667|0.0.585529|640.0|zuse
1689917999.496922616|CRYPTOTRANSFER|498|0.0.1897614|0.0.793407|390.0|sentx
1683995269.110029995|CRYPTOTRANSFER|500|0.0.1705905|0.0.793407|600.0|zuse
1691357368.017619003|CRYPTOTRANSFER|502|0.0.1280779|0.0.1757800|1900.0|sentx
1691260884.905581255|CRYPTOTRANSFER|505|0.0.1280779|0.0.1503696|1750.0|zuse
1691219732.106697003|CRYPTOTRANSFER|506|0.0.3116629|0.0.2348243|1900.0|sentx
1689456146.986281003|CRYPTOTRANSFER|510|0.0.638341|0.0.793407|1222.0|sentx
1691079631.543805003|CRYPTOTRANSFER|510|0.0.958730|0.0.638341|1700.0|sentx
1687109509.308877623|CRYPTOTRANSFER|522|0.0.2336576|0.0.657657|420.0|zuse
1687109519.103159075|CRYPTOTRANSFER|523|0.0.2336576|0.0.657657|420.0|zuse
1687109447.441282979|CRYPTOTRANSFER|524|0.0.2336576|0.0.657657|417.42781248|zuse
1686894304.108687763|CRYPTOTRANSFER|525|0.0.893956|0.0.657657|420.0|zuse
1686894945.864595043|CRYPTOTRANSFER|531|0.0.657657|0.0.621029|555.0|zuse
1688271534.697899003|CRYPTOTRANSFER|532|0.0.2104123|0.0.621029|395.0|zuse
1686894294.485759003|CRYPTOTRANSFER|538|0.0.893956|0.0.657657|420.0|zuse
1687109530.498815972|CRYPTOTRANSFER|539|0.0.2336576|0.0.657657|420.0|zuse
1687762424.000962960|CRYPTOTRANSFER|548|0.0.2998555|0.0.1990138|390.0|zuse
1686959091.919070838|CRYPTOTRANSFER|552|0.0.2348243|0.0.585529|700.0|zuse
1687545072.660267698|CRYPTOTRANSFER|558|0.0.2657668|0.0.1757800|440.0|zuse
1687803486.938320003|CRYPTOTRANSFER|561|0.0.2104123|0.0.1990138|390.0|zuse
1686894313.910536003|CRYPTOTRANSFER|567|0.0.893956|0.0.657657|425.0|zuse
1689778887.507983003|CRYPTOTRANSFER|568|0.0.2348243|0.0.814382|350.0|zuse
1687544933.652370350|CRYPTOTRANSFER|571|0.0.2657668|0.0.793407|420.0|zuse
1689476675.766680003|CRYPTOTRANSFER|572|0.0.2121560|0.0.793407|500.0|sentx
1687544958.404843003|CRYPTOTRANSFER|573|0.0.2657668|0.0.793407|420.0|zuse
1689820859.400969096|CRYPTOTRANSFER|577|0.0.627512|0.0.814382|450.0|zuse
1689910254.668193003|CRYPTOTRANSFER|581|0.0.1498096|0.0.1503696|375.0|zuse
1690353920.072281003|CRYPTOTRANSFER|582|0.0.1757800|0.0.793407|207.5|sentx
